"Reference","Value","Datasheet","Footprint","Qty","DNP"
"ATMEGA-16","MEGA32-P","","Atmega16-32 Development Board:DIL40","1",""
"C1,C2","C","","Capacitor_SMD:C_1206_3216Metric","2",""
"C4","100uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C5,C6","22pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"C9","100n","","Capacitor_SMD:C_1206_3216Metric","1",""
"C10","0.1uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"D5","Busy","~","LED_SMD:LED_1206_3216Metric","1",""
"D6","Power","~","LED_SMD:LED_1206_3216Metric","1",""
"D7,D8","3V6","~","Diode_SMD:D_1206_3216Metric","2",""
"J1","ISPHeader","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","1",""
"J3","USB_B_Micro","~","Connector_USB:USB_Micro-B_Wuerth_629105150521","1",""
"PORT-A1","PINHD-1X9","","Atmega16-32 Development Board:1X09","1",""
"PORT-B1,PORT-C1,PORT-D1","PINHD-1X8","","Atmega16-32 Development Board:1X08","3",""
"Q1","CRYSTAL","","Crystal:Crystal_HC52-U_Vertical","1",""
"R1","10k","","Diode_SMD:D_1206_3216Metric","1",""
"R2,R7,R8","1K5","~","Resistor_SMD:R_1206_3216Metric","3",""
"R9","10K","~","Resistor_SMD:R_1206_3216Metric","1",""
"R10,R11","68","~","-- mixed values --","2",""
"RESET1","SWITCH","","Atmega16-32 Development Board:B3F-10XX","1",""
"U2","ATmega328-M","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","1",""
"Y2","12MHz","~","Crystal:Crystal_HC18-U_Vertical","1",""
